Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.61,0.9099999999999999,0.43104899921099105
75% Corpus,7,0.61,symmetric,0.4715521716535391
75% Corpus,7,0.9099999999999999,0.01,0.42432136567327355
75% Corpus,7,0.9099999999999999,0.31,0.4611643618478863
75% Corpus,7,0.9099999999999999,0.61,0.4570834805553661
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.48021682028196266
75% Corpus,7,0.9099999999999999,symmetric,0.46504169862828776
75% Corpus,7,symmetric,0.01,0.405360119442514
75% Corpus,7,symmetric,0.31,0.43913293579802815
75% Corpus,7,symmetric,0.61,0.41059754509807955
75% Corpus,7,symmetric,0.9099999999999999,0.4379319161815828
75% Corpus,7,symmetric,symmetric,0.4097430433795357
75% Corpus,7,asymmetric,0.01,0.4553051020883589
75% Corpus,7,asymmetric,0.31,0.46090117550615767
75% Corpus,7,asymmetric,0.61,0.4364909431470732
75% Corpus,7,asymmetric,0.9099999999999999,0.46490100179118893
75% Corpus,7,asymmetric,symmetric,0.43153907043156725
75% Corpus,8,0.01,0.01,0.4337003850519314
75% Corpus,8,0.01,0.31,0.43245322113282736
75% Corpus,8,0.01,0.61,0.3965548305652661
75% Corpus,8,0.01,0.9099999999999999,0.45332393947911426
75% Corpus,8,0.01,symmetric,0.42161470863317574
75% Corpus,8,0.31,0.01,0.4165299475440894
75% Corpus,8,0.31,0.31,0.4147006017859194
75% Corpus,8,0.31,0.61,0.44617530542281314
75% Corpus,8,0.31,0.9099999999999999,0.44638641628623077
75% Corpus,8,0.31,symmetric,0.4341516122705178
75% Corpus,8,0.61,0.01,0.4351912483015299
75% Corpus,8,0.61,0.31,0.43630265811716373
75% Corpus,8,0.61,0.61,0.4384210895861191
75% Corpus,8,0.61,0.9099999999999999,0.46025469400517705
75% Corpus,8,0.61,symmetric,0.4356939993416223
75% Corpus,8,0.9099999999999999,0.01,0.4278670648128641
75% Corpus,8,0.9099999999999999,0.31,0.4402746489415332
75% Corpus,8,0.9099999999999999,0.61,0.4343853373757419
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.41927793076601905
75% Corpus,8,0.9099999999999999,symmetric,0.45436637569185445
75% Corpus,8,symmetric,0.01,0.41414825702135943
75% Corpus,8,symmetric,0.31,0.4453511618692094
75% Corpus,8,symmetric,0.61,0.44161504855601585
75% Corpus,8,symmetric,0.9099999999999999,0.43123685966190767
75% Corpus,8,symmetric,symmetric,0.4524375605215403
75% Corpus,8,asymmetric,0.01,0.44023198397909874
75% Corpus,8,asymmetric,0.31,0.4519635725001436
75% Corpus,8,asymmetric,0.61,0.45151866302113497
75% Corpus,8,asymmetric,0.9099999999999999,0.4786671109441777
75% Corpus,8,asymmetric,symmetric,0.4204572616310177
75% Corpus,9,0.01,0.01,0.4091768668998122
75% Corpus,9,0.01,0.31,0.43542128185090045
75% Corpus,9,0.01,0.61,0.42824818349275284
75% Corpus,9,0.01,0.9099999999999999,0.4395595910164697
75% Corpus,9,0.01,symmetric,0.41036112081185183
75% Corpus,9,0.31,0.01,0.4275547991734048
75% Corpus,9,0.31,0.31,0.3971406984972358
75% Corpus,9,0.31,0.61,0.41255277918637207
75% Corpus,9,0.31,0.9099999999999999,0.43130931737694556
75% Corpus,9,0.31,symmetric,0.39137344353937387
75% Corpus,9,0.61,0.01,0.45287373231944117
75% Corpus,9,0.61,0.31,0.4279104529471877
75% Corpus,9,0.61,0.61,0.42400730328482283
75% Corpus,9,0.61,0.9099999999999999,0.46341633071925503
75% Corpus,9,0.61,symmetric,0.4235980655267008
75% Corpus,9,0.9099999999999999,0.01,0.45569113804299977
75% Corpus,9,0.9099999999999999,0.31,0.42301473527312383
75% Corpus,9,0.9099999999999999,0.61,0.45426250867530477
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4429324121456868
75% Corpus,9,0.9099999999999999,symmetric,0.4565051391322912
75% Corpus,9,symmetric,0.01,0.4227752051241614
75% Corpus,9,symmetric,0.31,0.4042542826866421
75% Corpus,9,symmetric,0.61,0.4096500575099371
75% Corpus,9,symmetric,0.9099999999999999,0.43719790407070985
75% Corpus,9,symmetric,symmetric,0.4045621182118301
75% Corpus,9,asymmetric,0.01,0.40639415995414174
75% Corpus,9,asymmetric,0.31,0.4301406476680364
75% Corpus,9,asymmetric,0.61,0.44881557943332584
75% Corpus,9,asymmetric,0.9099999999999999,0.42448860118665505
75% Corpus,9,asymmetric,symmetric,0.41982315180277685
75% Corpus,10,0.01,0.01,0.4081757210357916
75% Corpus,10,0.01,0.31,0.4034933474967947
75% Corpus,10,0.01,0.61,0.40218124534334676
75% Corpus,10,0.01,0.9099999999999999,0.41950935969562153
75% Corpus,10,0.01,symmetric,0.4395073489382586
75% Corpus,10,0.31,0.01,0.4275566696285241
75% Corpus,10,0.31,0.31,0.4113250121169054
75% Corpus,10,0.31,0.61,0.4288704571567413
75% Corpus,10,0.31,0.9099999999999999,0.4515682436316822
75% Corpus,10,0.31,symmetric,0.4190939153151224
75% Corpus,10,0.61,0.01,0.4094077947006204
75% Corpus,10,0.61,0.31,0.41420008167927513
75% Corpus,10,0.61,0.61,0.44537091588977074
75% Corpus,10,0.61,0.9099999999999999,0.4225929754086885
75% Corpus,10,0.61,symmetric,0.43087149639814537
75% Corpus,10,0.9099999999999999,0.01,0.43260195083211317
75% Corpus,10,0.9099999999999999,0.31,0.4228317128966993
75% Corpus,10,0.9099999999999999,0.61,0.43332919641426804
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.44780378387856884
75% Corpus,10,0.9099999999999999,symmetric,0.431125171336495
75% Corpus,10,symmetric,0.01,0.43820805879305597
75% Corpus,10,symmetric,0.31,0.39824147537521387
75% Corpus,10,symmetric,0.61,0.40858924141987424
75% Corpus,10,symmetric,0.9099999999999999,0.3924618262444402
75% Corpus,10,symmetric,symmetric,0.4139076123061104
75% Corpus,10,asymmetric,0.01,0.4000656128431097
75% Corpus,10,asymmetric,0.31,0.43590598795961216
75% Corpus,10,asymmetric,0.61,0.41427805145213803
75% Corpus,10,asymmetric,0.9099999999999999,0.44464783107802097
75% Corpus,10,asymmetric,symmetric,0.4040946946287976
100% Corpus,2,0.01,0.01,0.4926913142645658
100% Corpus,2,0.01,0.31,0.5273635099056988
100% Corpus,2,0.01,0.61,0.5163365738444534
100% Corpus,2,0.01,0.9099999999999999,0.5086598314718849
100% Corpus,2,0.01,symmetric,0.4469014419659431
100% Corpus,2,0.31,0.01,0.5468460917688683
100% Corpus,2,0.31,0.31,0.5112706512093221
100% Corpus,2,0.31,0.61,0.5030487517004856
100% Corpus,2,0.31,0.9099999999999999,0.5055709356833487
100% Corpus,2,0.31,symmetric,0.5327099454013899
100% Corpus,2,0.61,0.01,0.4871945682465765
100% Corpus,2,0.61,0.31,0.49863515134477954
100% Corpus,2,0.61,0.61,0.5110233455421875
100% Corpus,2,0.61,0.9099999999999999,0.5642635051066278
100% Corpus,2,0.61,symmetric,0.5359829452998854
100% Corpus,2,0.9099999999999999,0.01,0.5114304942307837
100% Corpus,2,0.9099999999999999,0.31,0.4847683588549413
100% Corpus,2,0.9099999999999999,0.61,0.5022118600352448
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.5111173297256607
100% Corpus,2,0.9099999999999999,symmetric,0.49717044607065647
100% Corpus,2,symmetric,0.01,0.45645301052940457
100% Corpus,2,symmetric,0.31,0.5985353451519069
100% Corpus,2,symmetric,0.61,0.5060520496523988
100% Corpus,2,symmetric,0.9099999999999999,0.501626780482743
100% Corpus,2,symmetric,symmetric,0.5163365738444535
100% Corpus,2,asymmetric,0.01,0.40781863768366533
100% Corpus,2,asymmetric,0.31,0.5064226849679156
100% Corpus,2,asymmetric,0.61,0.4931311671156258
100% Corpus,2,asymmetric,0.9099999999999999,0.5842991332366758
100% Corpus,2,asymmetric,symmetric,0.43598529953437903
100% Corpus,3,0.01,0.01,0.415285174005178
100% Corpus,3,0.01,0.31,0.391827691085248
100% Corpus,3,0.01,0.61,0.4578947839969008
100% Corpus,3,0.01,0.9099999999999999,0.450590687408071
100% Corpus,3,0.01,symmetric,0.4380426600377613
100% Corpus,3,0.31,0.01,0.4081562247675052
100% Corpus,3,0.31,0.31,0.4115451803294645
100% Corpus,3,0.31,0.61,0.3939860044459907
100% Corpus,3,0.31,0.9099999999999999,0.40904657309753495
100% Corpus,3,0.31,symmetric,0.4330553652812144
100% Corpus,3,0.61,0.01,0.43126770639297884
100% Corpus,3,0.61,0.31,0.44786112765569913
100% Corpus,3,0.61,0.61,0.4471274964288927
100% Corpus,3,0.61,0.9099999999999999,0.4343710976761943
100% Corpus,3,0.61,symmetric,0.4416265394222167
100% Corpus,3,0.9099999999999999,0.01,0.4519175473268673
100% Corpus,3,0.9099999999999999,0.31,0.4109680226694974
100% Corpus,3,0.9099999999999999,0.61,0.4113851211266079
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4483664227794561
